Date,Portfolio_Value
2023-02-01,100000.0
2023-02-02,100240.91617107473
2023-02-03,99246.7033101673
2023-02-06,99590.32153603836
2023-02-07,99347.09322300846
2023-02-08,100024.97760533719
2023-02-09,101205.26210718454
2023-02-10,101083.77040199278
2023-02-13,100586.48417336922
2023-02-14,100106.0815335094
2023-02-15,100278.68304979721
2023-02-16,102188.65324283307
2023-02-17,101310.09053806271
2023-02-20,100934.7900211351
2023-02-21,99991.70430983877
2023-02-22,98986.72409122651
2023-02-23,98592.46742622912
2023-02-24,98419.79828834406
2023-02-27,96895.78470009743
2023-02-28,98117.72114153768
2023-03-01,100144.70849643025
2023-03-02,99957.95132044009
2023-03-03,100483.85545538003
2023-03-06,101317.33421954725
2023-03-08,101453.40841499805
2023-03-09,100826.1808776486
2023-03-10,100719.5402611311
2023-03-13,98389.50140486486
2023-03-14,97326.65094323468
2023-03-15,97607.08882474656
2023-03-16,96650.39650958504
2023-03-17,97028.2345030003
2023-03-20,95271.41380022351
2023-03-21,96732.87731964688
2023-03-22,96603.10681068538
2023-03-23,96184.02316629642
2023-03-24,95376.03973437572
2023-03-27,93642.37636509803
2023-03-28,92126.54938310751
2023-03-29,93616.18517248382
2023-03-31,94326.3810623544
2023-04-03,96001.94021165755
2023-04-05,96817.76067521506
2023-04-06,97483.81505477535
2023-04-10,97418.1944940628
2023-04-11,98279.39400188219
2023-04-12,99229.34097291758
2023-04-13,99779.53778261296
2023-04-17,101091.69915329095
2023-04-18,101707.07985236656
2023-04-19,101592.41377516679
2023-04-20,101801.72794488205
2023-04-21,101652.07739526435
2023-04-24,101765.46938371865
2023-04-25,101519.8988868043
2023-04-26,102062.19482648408
2023-04-27,102690.41583203428
2023-04-28,103354.12747846344
2023-05-02,103483.72464777902
2023-05-03,103832.99345475707
2023-05-04,104544.87882494694
2023-05-05,104362.47223585963
2023-05-08,105404.8777537987
2023-05-09,105662.06986326068
2023-05-10,105415.47167372014
2023-05-11,106106.41756705949
2023-05-12,106790.97041100197
2023-05-15,107433.195522105
2023-05-16,108197.37458419135
2023-05-17,108544.41387321924
2023-05-18,109011.67004788955
2023-05-19,109351.13666496518
2023-05-22,109440.7037685065
2023-05-23,110015.95359940213
2023-05-24,109736.76537330903
2023-05-25,110642.46043140907
2023-05-26,111737.9794456448
2023-05-29,112527.34282412911
2023-05-30,114320.85041016575
